"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact","TopoID","Note","X","Y","geometry"
"58",7011,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"45",45,"1.5","5","Agriculture",200654,"recorded in 2009",474801.5412,4683869.0366,c(474801.5412, 4683869.0366)
"59",7012,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"50",50,"2.5","2","Agriculture",200655,"recorded in 2009",474757.6174,4683938.798,c(474757.6174, 4683938.798)
"60",7013,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"40",40,"1","5","Agriculture",200936,"recorded in 2009",474608.8594,4683901.2083,c(474608.8594, 4683901.2083)
"61",7014,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"35",35,"0.7","5","Agriculture",0,"Mound",474523.1965,4683912.338,c(474523.1965, 4683912.338)
"62",7015,"survey","Burial Mound","Annual agriculture","Pasture",2009-11-05,"18",18,"1","3","Post-depositional",0,"Mound",467246.0418,4680704.4378,c(467246.0418, 4680704.4378)
"63",7016,"survey","Burial Mound","Annual agriculture","Scrub",2009-11-06,"35",45,"5","2","Looting",200699,"recorded in 2009",476802.4011,4684774.8333,c(476802.4011, 4684774.8333)
"64",7017,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-07,"45",45,"1","3?","Agriculture",0,"Mound",476838.9025,4684642.3096,c(476838.9025, 4684642.3096)
"65",7021,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"25",25,"3","3?","Agriculture",0,"Mound",473966.2826,4684426.8474,c(473966.2826, 4684426.8474)
"66",7022,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"20",20,"2","3?","Agriculture",0,"Mound",473758.7352,4684213.9419,c(473758.7352, 4684213.9419)
"67",8000,"survey","Burial Mound","Annual agriculture","Pasture",2009-10-12,"50",40,"6","2","Looting",200591,"Registered in 2009, point shifted slightly",467696.5666,4680908.3235,c(467696.5666, 4680908.3235)
"68",8004,"survey","Burial Mound","Scrub","Pasture",2009-10-12,"46",54,"7","1","Post-depositional",200586,"recorded in 2009, point adjusted",469019.6555,4682070.8991,c(469019.6555, 4682070.8991)
"69",8006,"survey","Burial Mound","Annual agriculture","Pasture",2009-10-13,"37",40,"6","1","Post-depositional",0,"Mound",470686.0917,4683032.5042,c(470686.0917, 4683032.5042)
"70",8007,"survey","Burial Mound","Pasture","Pasture",2009-10-20,"15",20,"4.5","1","Post-depositional | Development",200617,"recorded in 2009, excavated 2010",469481.5897,4681159.0652,c(469481.5897, 4681159.0652)
"71",8008,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-21,"20",22,"4","5","Agriculture",0,"Mound",470953.587,4680663.2416,c(470953.587, 4680663.2416)
"72",8009,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-21,"16",20,"4","4","Agriculture",200615,"recorded in 2009",470959.4975,4680632.4959,c(470959.4975, 4680632.4959)
"73",8010,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-27,"30",30,"3","4","Agriculture",0,"Mound",471565.9968,4680750.9798,c(471565.9968, 4680750.9798)
"74",8013,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"35",35,"0.5","5","Agriculture",0,"Mound",471846.8216,4683629.9132,c(471846.8216, 4683629.9132)
"75",8014,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"35",35,"1","4","Agriculture",0,"Mound",471899.6855,4683634.1413,c(471899.6855, 4683634.1413)
"76",8015,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"40",40,"1.1","4","Agriculture | Development",0,"Mound",471932.0936,4683670.3175,c(471932.0936, 4683670.3175)
"77",8017,"survey","Burial Mound","Pasture","Scrub",2009-11-14,"30",40,"3","4","Looting",200653,NA,475872.6801,4685029.4015,c(475872.6801, 4685029.4015)
"78",6030,"survey","Burial Mound","Pasture","Scrub",2010-10-22,"34",34,"4","2","Looting",200332,"Survey 2010 mound",447623.024,4673062.5677,c(447623.024, 4673062.5677)
"79",8051,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-17,"35",25,"2","3","Looting",200614,NA,472300.6587,4680287.7658,c(472300.6587, 4680287.7658)
"80",8057,"Legacy verification","Burial Mound","Forest","Scrub",2010-11-17,"35",35,"1.8","2","Looting",200663,NA,473650.6512,4679942.6988,c(473650.6512, 4679942.6988)
"81",8058,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"25",25,"1.5","1","Looting",200661,NA,473139.1783,4680291.7942,c(473139.1783, 4680291.7942)
"82",8059,"Survey","Burial Mound","Pasture","Pasture",2010-11-17,"30",30,"1.5","1","Looting",200662,NA,473097.825,4680197.7582,c(473097.825, 4680197.7582)
"83",8060,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-17,"40",40,"1.5","5","Looting",200664,NA,472964.4071,4679667.5418,c(472964.4071, 4679667.5418)
"84",9013,"Survey","Burial Mound","Pasture","Pasture",2010-10-23,"24",23,"2","2","Looting",0,NA,447232.5343,4689011.4297,c(447232.5343, 4689011.4297)
"85",9014,"Survey","Burial Mound","Pasture","Scrub",2010-10-23,"13",23,"2","5","Looting",0,NA,447226.8742,4689040.7739,c(447226.8742, 4689040.7739)
