TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact
9117,Legacy verification,Burial Mound,Pasture,Pasture,NA,40,,1.5,4,Agriculture
9118,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1.5,4,Agriculture
9119,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,35,,1,4,Agriculture
9120,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,30,,0.5,5,Agriculture
9121,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,30,,0.5,5,Agriculture
9122,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,25,,0.5,5,Agriculture
9123,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,30,,2,4,Looting
9124,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,25,,1.5,5,Looting
9125,Legacy verification,Burial Mound,Pasture,Pasture,NA,30,,1,3,Looting
9126,Legacy verification,Burial Mound,Pasture,Pasture,NA,40,,2.5,4,Looting
9127,Legacy verification,Burial Mound,Pasture,Pasture,NA,25,,2,3,Looting
9128,Legacy verification,Burial Mound,Pasture,Pasture,NA,28,,4.5,5,Looting
9129,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,50,,0.8,5,Agriculture
9130,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,25,,1.5,2,road
9131,Legacy verification,Burial Mound,Pasture,Pasture,NA,20,,4,3,Looting
9132,Legacy verification,Burial Mound,Pasture,Pasture,NA,25,,2,2,Looting
9133,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,15,,0.8,3,Looting
9135,Legacy verification,Burial Mound,Forest,Scrub,NA,30,,3.5,5,Looting
9136,Legacy verification,Burial Mound,Forest,Scrub,NA,40,,2,2,Looting
9137,Legacy verification,Burial Mound,Forest,Scrub,NA,50,,8,5,Looting
9138,Legacy verification,Burial Mound,Pasture,Pasture,NA,40,,6,5,Looting
9139,Legacy verification,Burial Mound,Pasture,Pasture,NA,50,,7,5,Looting
9140,Legacy verification,Burial Mound,Pasture,Scrub,NA,40,,2,5,Looting
9141,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,25,,2,5,Agriculture
9142,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1.5,5,Agriculture
9143,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,30,,1,5,Agriculture
9144,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,1,5,Agriculture
9145,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1,5,Agriculture
9146,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,5,5,Agriculture
9147,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,20,,0.5,5,Agriculture
9148,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,25,,2,5,Agriculture
9149,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1,5,Agriculture
9150,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1,5,Agriculture
9151,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,3,4,Agriculture
9152,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,40,,1,5,Agriculture
9153,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,1.5,5,Agriculture
9154,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,4,5,Agriculture
9155,Legacy verification,Burial Mound,Pasture,Scrub,NA,25,,1.5,5,Looting
9156,Survey,Burial Mound,Annual agriculture,Scrub,NA,50,,8,4,Looting
9157,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,30,,4,5,Looting
9158,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,2,5,Agriculture
9159,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,40,,0.1,5,Agriculture
9160,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,40,,0.1,5,Agriculture
9161,Legacy verification,Burial Mound,Perennial agriculture,Perennial agriculture,NA,15,,1,5,Agriculture
9162,Legacy verification,Burial Mound,Pasture,Scrub,NA,35,,2.5,5,Construction
9163,Legacy verification,Burial Mound,Pasture,Scrub,NA,30,,2.5,5,Looting
9164,Survey,Burial Mound,Pasture,Scrub,NA,35,,2,5,Looting
9165,Legacy verification,Burial Mound,Pasture,Scrub,NA,40,,6,4,Looting
9166,Legacy verification,Burial Mound,Pasture,Pasture,NA,30,,5,3,Construction
9167,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,40,,1,4,Agriculture
9168,Survey,Uncertain Mound,Pasture,Pasture,NA,35,,1.7,2,Construction
9169,Survey,Burial Mound,Pasture,Pasture,NA,40,,2.5,2,Construction
9170,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,50,,0.8,5,Agriculture
9171,Legacy verification,Burial Mound,Pasture,Scrub,NA,40,,2,4,Agriculture
9172,Survey,Burial Mound,Pasture,Scrub,NA,30,,3,5,Agriculture
9173,Survey,Burial Mound,Pasture,Scrub,NA,25,,2.5,2,Agriculture
9174,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,35,,2.5,3,Agriculture
9175,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,40,,5,1,Agriculture
9177,Legacy verification,Burial Mound,Pasture,Pasture,NA,45,,1.7,4,Looting
9178,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,50,,0.4,5,Agriculture
9179,Legacy verification,Burial Mound,Pasture,Pasture,NA,50,,5,2,Looting
9180,Legacy verification,Burial Mound,Pasture,Scrub,NA,40,,3,2,Agriculture
9181,Legacy verification,Burial Mound,Pasture,Scrub,NA,60,,4,2,Anthropogenic
